tr_date,tr_time,price,volume,market_flag,sales_condition,exclude_record_flag,unfiltered_price
2011-07-05,2011-07-05T11:38:04Z,2.8463,1,E,4,X,2.8463
2011-07-06,2011-07-06T15:29:28Z,2.9018,4,E,4,X,2.9018
2011-07-07,2011-07-07T11:19:55Z,2.8989,1,E,4,X,2.8989
2011-07-07,2011-07-07T11:33:50Z,2.8989,1,E,4,X,2.8989
2011-07-07,2011-07-07T14:07:00Z,2.9836,1,E,0,,2.9836
2011-07-07,2011-07-07T14:58:30Z,2.9956,1,E,4,X,2.9956
2011-07-08,2011-07-08T10:51:20Z,3.0063,100,P,2,X,3.0063
2011-07-08,2011-07-08T13:59:16Z,2.9908,1,E,4,X,2.9908
2011-07-08,2011-07-08T14:29:14Z,3.0036,1,E,4,X,3.0036
2011-07-08,2011-07-08T14:53:55Z,2.9977,1,E,4,X,2.9977
2011-07-08,2011-07-08T14:53:55Z,2.9908,1,E,4,X,2.9908
2011-07-08,2011-07-08T14:54:40Z,2.9987,1,E,4,X,2.9987
2011-07-08,2011-07-08T14:54:40Z,2.9907,1,E,4,X,2.9907
2011-07-08,2011-07-08T14:54:40Z,2.9987,1,E,4,X,2.9987
2011-07-08,2011-07-08T14:54:40Z,2.9907,1,E,4,X,2.9907
2011-07-08,2011-07-08T15:04:52Z,2.9895,1,E,4,X,2.9895
2011-07-08,2011-07-08T15:23:30Z,2.989,1,E,4,X,2.989
2011-07-11,2011-07-11T10:15:48Z,2.998,1,E,4,X,2.998
2011-07-11,2011-07-11T14:23:53Z,3.0013,50,P,2,X,3.0013
2011-07-12,2011-07-12T14:14:49Z,2.9672,1,E,4,X,2.9672
2011-07-12,2011-07-12T14:14:49Z,2.9762,1,E,4,X,2.9762
2011-07-12,2011-07-12T14:22:06Z,2.9672,1,E,4,X,2.9672
2011-07-12,2011-07-12T14:25:10Z,2.9662,1,E,4,X,2.9662
2011-07-12,2011-07-12T14:25:10Z,2.9762,1,E,4,X,2.9762
2011-07-12,2011-07-12T14:26:59Z,2.9657,1,E,4,X,2.9657
2011-07-12,2011-07-12T14:26:59Z,2.9762,1,E,4,X,2.9762
2011-07-12,2011-07-12T14:30:01Z,2.9937,3,E,4,X,2.9937
2011-07-12,2011-07-12T14:30:01Z,2.9761,3,E,4,X,2.9761
2011-07-13,2011-07-13T14:17:02Z,3.016,1,E,4,X,3.016
2011-07-13,2011-07-13T14:26:51Z,3.0165,1,E,4,X,3.0165
2011-07-13,2011-07-13T14:26:51Z,3.0194,1,E,4,X,3.0194
2011-07-13,2011-07-13T14:27:15Z,2.9912,1,E,4,X,2.9912
2011-07-13,2011-07-13T14:28:01Z,2.9912,1,E,4,X,2.9912
2011-07-13,2011-07-13T14:29:10Z,3.018,1,E,4,X,3.018
2011-07-13,2011-07-13T14:29:10Z,3.0194,1,E,4,X,3.0194
2011-07-13,2011-07-13T14:30:03Z,3.0198,1,E,4,X,3.0198
2011-07-13,2011-07-13T14:30:03Z,3.0194,1,E,4,X,3.0194
2011-07-13,2011-07-13T14:34:22Z,3.0186,1,E,4,X,3.0186
2011-07-14,2011-07-14T14:07:01Z,3.0218,1,E,4,X,3.0218
2011-07-14,2011-07-14T14:07:01Z,2.984,1,E,4,X,2.984
2011-07-14,2011-07-14T14:18:44Z,3.0203,1,E,4,X,3.0203
2011-07-14,2011-07-14T14:18:44Z,2.9845,1,E,4,X,2.9845
2011-07-14,2011-07-14T14:19:19Z,3.0023,2,E,4,X,3.0023
2011-07-14,2011-07-14T14:19:19Z,2.9845,2,E,4,X,2.9845
2011-07-18,2011-07-18T11:07:36Z,3.018,1,E,4,X,3.018
2011-07-18,2011-07-18T11:08:03Z,3.018,1,E,4,X,3.018
2011-07-18,2011-07-18T11:11:07Z,3.018,1,E,4,X,3.018
2011-07-18,2011-07-18T11:23:27Z,3.0174,1,E,4,X,3.0174
2011-07-18,2011-07-18T11:41:11Z,3.017,1,E,4,X,3.017
2011-07-18,2011-07-18T12:44:00Z,3.017,1,E,4,X,3.017
2011-07-18,2011-07-18T13:58:31Z,3.0174,2,E,4,X,3.0174
2011-07-18,2011-07-18T13:58:31Z,3.0174,2,E,4,X,3.0174
2011-07-18,2011-07-18T15:22:57Z,3.0174,5,E,4,X,3.0174
2011-07-19,2011-07-19T10:39:03Z,3.0089,1,E,4,X,3.0089
2011-07-19,2011-07-19T11:07:38Z,3.0089,2,E,4,X,3.0089
2011-07-19,2011-07-19T11:35:58Z,3.0094,1,E,4,X,3.0094
2011-07-19,2011-07-19T11:42:00Z,3.0094,1,E,4,X,3.0094
2011-07-20,2011-07-20T13:54:24Z,3.0004,1,E,4,X,3.0004
2011-07-20,2011-07-20T13:54:41Z,3.0003,10,E,4,X,3.0003
2011-07-21,2011-07-21T11:02:22Z,3.0172,1,E,4,X,3.0172
2011-07-21,2011-07-21T11:02:22Z,3.0172,10,E,4,X,3.0172
2011-07-21,2011-07-21T11:51:13Z,3.0161,1,E,4,X,3.0161
2011-07-21,2011-07-21T11:51:13Z,3.0161,10,E,4,X,3.0161
2011-07-21,2011-07-21T11:51:18Z,3.0152,7,E,4,X,3.0152
2011-07-21,2011-07-21T11:51:46Z,3.016,2,E,4,X,3.016
2011-07-21,2011-07-21T11:51:46Z,3.0231,2,E,4,X,3.0231
2011-07-21,2011-07-21T11:51:46Z,3.016,2,E,4,X,3.016
2011-07-21,2011-07-21T11:51:46Z,3.0231,2,E,4,X,3.0231
2011-07-21,2011-07-21T11:51:46Z,3.016,1,E,4,X,3.016
2011-07-21,2011-07-21T11:51:46Z,3.0231,1,E,4,X,3.0231
2011-07-21,2011-07-21T12:21:03Z,3.0165,1,E,4,X,3.0165
2011-07-21,2011-07-21T12:21:03Z,3.0231,1,E,4,X,3.0231
2011-07-21,2011-07-21T12:25:47Z,3.0165,1,E,4,X,3.0165
2011-07-21,2011-07-21T12:25:47Z,3.0231,1,E,4,X,3.0231
2011-07-22,2011-07-22T14:28:37Z,3.029,5,E,4,X,3.029
2011-07-25,2011-07-25T09:55:35Z,3,1,E,0,,3
2011-07-25,2011-07-25T09:55:35Z,3,1,E,4,X,3
2011-07-25,2011-07-25T13:17:37Z,3.011,1,E,4,X,3.011
2011-07-25,2011-07-25T13:17:37Z,3,1,E,4,X,3
2011-07-25,2011-07-25T14:29:20Z,3,5,E,4,X,3
2011-07-25,2011-07-25T14:29:54Z,3,1,E,4,X,3
2011-07-25,2011-07-25T14:30:03Z,3,1,E,4,X,3
2011-07-25,2011-07-25T14:30:19Z,3.0099,1,E,4,X,3.0099
2011-07-25,2011-07-25T14:30:54Z,3,1,E,4,X,3
2011-07-25,2011-07-25T14:31:09Z,3,1,E,4,X,3
2011-07-25,2011-07-25T14:31:19Z,3,1,E,4,X,3
2011-07-25,2011-07-25T14:31:19Z,3,1,E,4,X,3
2011-07-26,2011-07-26T14:02:28Z,3.0159,1,E,4,X,3.0159
2011-07-26,2011-07-26T14:30:24Z,3.0154,1,E,4,X,3.0154
2011-07-26,2011-07-26T14:31:31Z,3.0151,1,E,4,X,3.0151
2011-07-27,2011-07-27T11:30:55Z,3.0142,1,E,0,,3.0142
